ID_Cliente,Edad,Prima_Seguro,Tipo_Seguro,Genero,Antiguedad_Cliente_Anios,Reclamos_Anuales,Provincia,Canal_Contratacion,Tiene_Descuento,Satisfaccion_Cliente
66,25,7658.03,Hogar,Otro,5,4,Salta,Online,0,3
67,64,13829.23,Vida,M,7,0,Tucumán,Sucursal,0,2
68,52,8777.86,Auto,F,9,3,Mendoza,Sucursal,0,3
69,31,14364.78,Vida,M,12,4,Mendoza,Online,0,4
70,34,13144.08,Vida,M,13,1,Mendoza,Teléfono,0,3
71,53,12598.11,Vida,F,11,1,Misiones,Online,0,1
72,67,10130.5,Vida,M,3,1,Mendoza,Sucursal,0,5
73,57,11320.6,Vida,M,12,0,Misiones,Online,0,3
74,21,17382.64,Salud,F,6,3,Corrientes,Sucursal,0,2
75,19,12843.03,Auto,M,5,2,Salta,Online,0,3
76,23,10124.26,Salud,M,9,1,Corrientes,Sucursal,0,4
77,71,11008.0,Hogar,M,1,3,Entre Ríos,Online,1,2
78,59,14069.58,Auto,F,14,4,Corrientes,Teléfono,1,2
79,21,5700.96,Auto,F,7,0,Santa Fe,Online,0,2
80,71,12340.08,Hogar,M,9,3,Chaco,Teléfono,0,5
81,46,11676.98,Salud,F,8,1,Santa Fe,Teléfono,0,2
82,35,16746.52,Salud,M,4,2,Buenos Aires,Online,0,3
83,43,11224.31,Salud,M,9,1,Corrientes,Sucursal,0,5
84,61,6570.96,Vida,F,3,1,Tucumán,Online,0,2
85,51,5627.37,Hogar,M,5,3,Córdoba,Online,0,5
86,27,11428.68,Auto,M,7,2,Corrientes,Teléfono,1,5
87,53,11309.17,Hogar,F,10,2,Salta,Sucursal,0,4
88,31,7597.05,Hogar,M,14,0,Corrientes,Sucursal,1,2
89,48,13587.36,Auto,M,2,1,Misiones,Online,1,3
90,65,6166.98,Auto,M,9,1,Buenos Aires,Online,0,4
91,32,13062.29,Vida,M,10,2,Mendoza,Online,0,5
92,25,9163.73,Salud,F,10,3,Buenos Aires,Teléfono,0,2
93,31,6745.59,Tecnología,M,0,3,Buenos Aires,Sucursal,0,4
94,40,9527.98,Viaje,M,3,2,Chaco,Teléfono,0,3
95,74,10384.39,Vida,M,14,0,Córdoba,Online,0,2
96,57,9416.33,Hogar,M,3,2,Buenos Aires,Online,0,3
97,38,17304.54,Vida,F,0,0,Chaco,Online,1,4
98,33,11907.05,Salud,M,8,2,Mendoza,Online,0,3
99,62,14377.79,Auto,F,2,3,Santa Fe,Online,1,3
100,35,6960.88,Hogar,F,4,1,Mendoza,Teléfono,0,5
101,64,16865.17,Salud,F,5,3,Tucumán,Teléfono,1,3
102,70,15024.71,Hogar,Otro,7,1,Buenos Aires,Sucursal,0,3
103,41,3770.59,Vida,M,5,0,Buenos Aires,Sucursal,0,3
104,43,10322.1,Vida,M,2,3,Santa Fe,Online,1,3
105,42,13324.34,Auto,M,5,0,Salta,Teléfono,0,3
106,62,10010.86,Hogar,M,0,2,Buenos Aires,Online,0,5
107,58,11693.44,Hogar,M,3,2,Córdoba,Agente,0,3
108,46,9466.84,Auto,M,5,4,Entre Ríos,Sucursal,0,4
109,32,11605.75,Auto,F,6,3,Buenos Aires,Online,0,1
110,62,13966.16,Salud,F,10,2,Entre Ríos,Agente,1,2
111,18,15033.69,Auto,M,12,2,Mendoza,Online,0,3
112,42,14412.24,Vida,M,10,3,Corrientes,Sucursal,0,1
113,24,12354.09,Auto,F,9,2,Salta,Sucursal,1,2
114,26,8147.93,Viaje,F,2,2,Chaco,Online,0,3
115,41,9800.9,Auto,M,8,0,Misiones,Sucursal,0,1
116,18,8882.33,Hogar,F,11,2,Salta,Sucursal,1,2
117,61,10675.02,Viaje,M,11,1,Misiones,Teléfono,0,3
118,25,12481.87,Salud,Otro,6,2,Mendoza,Online,0,3
119,41,12366.25,Auto,F,13,2,Salta,Agente,0,5
120,28,22996.68,Salud,F,0,2,Chaco,Online,0,3
121,68,13293.37,Hogar,M,1,2,Misiones,Online,0,3
122,34,9361.93,Hogar,M,0,2,Santa Fe,Online,0,5
123,25,15214.0,Auto,M,10,2,Córdoba,Online,1,4
124,52,10173.35,Auto,Otro,8,1,Salta,Online,0,2
125,52,5959.88,Salud,F,8,2,Mendoza,Agente,0,2
126,50,7475.74,Hogar,M,6,4,Buenos Aires,Online,1,3
127,22,4607.62,Hogar,M,9,0,Chaco,Online,0,3
128,59,13113.64,Salud,M,2,0,Misiones,Online,1,4
129,56,14637.36,Salud,F,12,1,Misiones,Teléfono,0,4
130,58,17112.24,Auto,M,14,0,Córdoba,Teléfono,1,3
131,45,14725.01,Vida,M,4,3,Misiones,Online,0,5
132,24,10516.97,Auto,F,14,0,Entre Ríos,Online,0,3
133,26,17743.51,Salud,F,3,0,Tucumán,Online,0,2
134,25,4626.57,Vida,M,6,3,Entre Ríos,Online,0,4
135,29,8855.47,Tecnología,F,13,1,Misiones,Online,1,2
136,51,14053.86,Auto,F,8,2,Chaco,Sucursal,0,4
137,50,6620.66,Auto,F,11,0,Salta,Online,0,5
138,65,15424.39,Auto,M,1,0,Mendoza,Sucursal,1,3
139,72,12837.04,Auto,M,12,2,Buenos Aires,Online,0,3
140,40,10029.55,Auto,M,7,0,Salta,Agente,0,3
141,41,11118.52,Viaje,F,14,0,Santa Fe,Agente,0,3
142,54,19033.29,Auto,M,8,2,Salta,Sucursal,0,3
143,52,12120.16,Auto,M,9,2,Salta,Online,0,3
144,61,15652.52,Salud,M,13,2,Mendoza,Online,1,4
145,57,9191.92,Hogar,M,9,3,Córdoba,Sucursal,0,3
146,39,10820.66,Salud,F,8,2,Misiones,Teléfono,0,2
147,44,14180.11,Auto,M,13,3,Córdoba,Sucursal,1,3
148,52,7951.75,Hogar,F,9,2,Santa Fe,Teléfono,0,4
149,18,11416.17,Auto,M,13,1,Corrientes,Agente,0,3
150,52,9943.73,Auto,F,6,3,Buenos Aires,Online,0,3
151,54,10833.25,Viaje,F,14,1,Entre Ríos,Sucursal,0,4
152,64,12741.09,Auto,F,8,1,Buenos Aires,Online,0,3
153,31,17356.41,Vida,M,8,0,Misiones,Online,0,3
154,20,8669.95,Hogar,F,13,1,Buenos Aires,Sucursal,0,4
155,18,9370.38,Hogar,M,2,1,Tucumán,Online,1,2
156,22,6577.34,Viaje,F,3,3,Entre Ríos,Teléfono,0,5
157,43,9963.83,Auto,F,1,0,Santa Fe,Online,1,2
158,72,15191.47,Vida,M,9,1,Misiones,Sucursal,0,1
159,31,10126.78,Tecnología,F,2,1,Chaco,Sucursal,0,4
160,56,9963.55,Vida,F,10,1,Santa Fe,Sucursal,0,2
161,44,11787.94,Viaje,M,10,1,Tucumán,Online,1,4
162,26,15733.6,Auto,F,4,1,Entre Ríos,Teléfono,0,4
163,32,11560.3,Hogar,F,4,0,Mendoza,Sucursal,0,4
164,32,17513.43,Auto,F,5,1,Tucumán,Sucursal,1,5
165,43,11180.08,Salud,M,12,2,Santa Fe,Online,0,2
166,59,5602.83,Tecnología,M,6,2,Misiones,Sucursal,1,4
167,30,5430.22,Auto,M,6,0,Corrientes,Teléfono,0,2
168,68,19514.57,Vida,M,0,1,Misiones,Sucursal,1,3
169,49,13649.41,Auto,F,13,6,Entre Ríos,Teléfono,1,4
170,56,13343.22,Vida,F,1,1,Corrientes,Sucursal,0,3
171,66,11499.91,Hogar,M,11,1,Córdoba,Online,0,3
172,69,5988.82,Tecnología,F,8,1,Entre Ríos,Online,0,3
173,49,23028.44,Vida,F,9,1,Entre Ríos,Online,1,3
174,21,10597.66,Hogar,F,1,1,Tucumán,Sucursal,0,5
175,47,11831.0,Auto,F,5,3,Misiones,Teléfono,0,1
176,54,13935.03,Auto,Otro,10,1,Santa Fe,Online,0,3
177,40,12987.33,Auto,F,10,1,Mendoza,Sucursal,0,4
178,56,12298.82,Auto,M,0,0,Buenos Aires,Sucursal,0,3
179,62,7485.72,Viaje,F,2,3,Salta,Sucursal,0,1
180,32,15158.73,Vida,Otro,1,0,Mendoza,Online,0,3
181,60,20939.89,Vida,F,2,0,Buenos Aires,Online,0,3
182,46,15899.89,Auto,F,4,2,Córdoba,Online,0,2
183,53,13831.6,Viaje,M,10,1,Santa Fe,Online,0,4
184,30,12152.89,Salud,M,9,3,Misiones,Online,1,3
185,49,8224.31,Auto,F,5,1,Chaco,Online,1,5
186,24,13711.7,Salud,F,8,0,Entre Ríos,Sucursal,0,4
187,68,13897.32,Vida,F,11,5,Mendoza,Online,0,3
188,39,15000.83,Auto,F,10,1,Buenos Aires,Agente,0,1
189,45,5372.61,Hogar,F,14,2,Chaco,Online,0,3
190,19,14778.65,Hogar,M,14,2,Mendoza,Online,0,2
191,59,11068.58,Auto,F,9,0,Santa Fe,Online,0,5
192,62,8467.42,Viaje,F,11,0,Misiones,Online,0,2
193,74,10489.17,Salud,M,11,1,Corrientes,Teléfono,1,2
194,70,7246.06,Vida,Otro,12,3,Mendoza,Online,0,3
195,23,12699.51,Hogar,M,3,1,Mendoza,Agente,0,2
196,45,10669.95,Hogar,F,6,2,Misiones,Teléfono,0,2
197,45,8419.16,Vida,F,5,0,Córdoba,Sucursal,1,3
198,61,8559.19,Vida,M,1,2,Tucumán,Sucursal,0,1
199,61,10501.92,Auto,F,9,0,Mendoza,Sucursal,0,1
200,37,19879.18,Vida,F,10,1,Misiones,Online,0,3
201,47,13379.72,Salud,M,10,0,Tucumán,Sucursal,0,4
202,28,5770.57,Hogar,M,10,1,Misiones,Online,0,3
203,72,10909.05,Auto,M,14,1,Misiones,Online,0,3
204,45,13304.56,Salud,F,14,0,Córdoba,Sucursal,0,3
205,42,2520.27,Auto,F,7,1,Misiones,Sucursal,0,3
206,56,11380.83,Auto,Otro,6,1,Santa Fe,Teléfono,0,5
207,50,10737.92,Auto,F,14,1,Mendoza,Online,1,1
208,18,12268.62,Hogar,M,14,2,Buenos Aires,Teléfono,0,3
209,74,22505.62,Salud,M,6,1,Buenos Aires,Online,1,4
210,44,17833.61,Vida,M,13,3,Buenos Aires,Online,0,4
211,74,10852.66,Auto,F,14,1,Misiones,Online,0,2
212,69,6702.38,Viaje,F,7,0,Chaco,Sucursal,0,2
213,30,16248.07,Viaje,M,11,2,Tucumán,Online,0,4
214,58,9739.89,Viaje,M,11,3,Tucumán,Sucursal,1,1
215,20,11245.97,Auto,M,12,2,Misiones,Teléfono,1,4
216,56,10487.62,Hogar,F,13,1,Santa Fe,Sucursal,0,4
217,23,8705.4,Tecnología,F,10,1,Santa Fe,Sucursal,0,4
218,25,13643.69,Salud,M,0,2,Entre Ríos,Teléfono,0,2
219,44,9546.91,Auto,M,14,2,Misiones,Teléfono,0,4
220,26,9455.36,Auto,M,12,2,Salta,Sucursal,0,3
221,54,10441.74,Hogar,F,0,2,Córdoba,Online,0,4
222,50,8032.76,Viaje,M,7,2,Buenos Aires,Teléfono,1,1
223,68,10899.9,Vida,M,3,6,Córdoba,Sucursal,0,1
224,59,10909.29,Hogar,M,4,0,Buenos Aires,Online,1,3
225,61,10768.58,Auto,F,7,2,Corrientes,Online,1,2
226,41,19275.57,Vida,F,4,2,Corrientes,Teléfono,1,3
227,32,3185.93,Salud,M,9,0,Misiones,Online,0,5
228,71,13984.52,Hogar,F,3,2,Corrientes,Agente,0,3
229,49,19723.56,Salud,F,11,1,Chaco,Online,0,4
230,49,3513.86,Tecnología,M,5,1,Entre Ríos,Teléfono,0,1
231,41,10279.13,Auto,F,12,4,Santa Fe,Online,0,2
232,58,12131.38,Vida,M,14,3,Chaco,Sucursal,1,1
233,69,7045.21,Auto,F,11,1,Córdoba,Teléfono,1,3
234,66,11393.17,Salud,M,4,0,Córdoba,Sucursal,1,5
235,66,9328.75,Vida,Otro,13,0,Corrientes,Sucursal,1,1
236,69,20523.85,Vida,F,6,0,Santa Fe,Online,0,3
237,29,18219.86,Salud,F,13,2,Entre Ríos,Online,0,3
238,56,14374.67,Hogar,F,9,2,Buenos Aires,Online,0,5
239,19,11138.52,Viaje,F,6,5,Chaco,Sucursal,0,2
240,20,8796.69,Vida,M,12,1,Entre Ríos,Online,1,2
241,66,9929.08,Auto,M,3,0,Mendoza,Online,0,1
242,54,15448.56,Vida,F,11,1,Tucumán,Sucursal,0,3
243,66,9527.07,Salud,F,12,2,Corrientes,Sucursal,0,2
244,73,12869.0,Hogar,F,4,1,Buenos Aires,Teléfono,0,4
245,34,8691.12,Viaje,M,12,3,Mendoza,Online,0,3
246,66,8647.99,Viaje,F,2,2,Buenos Aires,Online,1,3
247,19,13536.17,Auto,M,14,1,Buenos Aires,Agente,0,3
248,19,9256.23,Tecnología,M,3,3,Corrientes,Online,0,1
249,45,10258.81,Auto,M,14,0,Buenos Aires,Teléfono,0,3
250,71,15535.79,Auto,F,13,0,Entre Ríos,Teléfono,0,5
251,40,7832.49,Auto,M,3,1,Entre Ríos,Teléfono,0,4
252,54,11203.03,Viaje,F,2,4,Mendoza,Online,1,4
253,49,15803.09,Vida,F,12,2,Córdoba,Teléfono,0,4
254,50,10478.5,Auto,M,9,0,Santa Fe,Teléfono,0,2
255,18,11158.4,Hogar,M,4,1,Chaco,Sucursal,0,2
256,36,8480.66,Vida,F,4,1,Chaco,Online,0,1
257,19,14239.29,Auto,F,10,2,Salta,Online,0,3
258,70,9200.76,Viaje,F,6,3,Corrientes,Online,0,2
259,61,12414.56,Salud,F,3,3,Misiones,Sucursal,0,3
260,43,17521.14,Vida,F,12,3,Misiones,Sucursal,1,3
261,49,6799.58,Tecnología,F,3,1,Mendoza,Online,0,4
262,23,6004.62,Hogar,F,8,1,Buenos Aires,Sucursal,0,4
263,49,4754.09,Tecnología,M,5,1,Buenos Aires,Online,0,5
264,72,16083.44,Vida,M,14,0,Corrientes,Sucursal,0,1
265,21,8216.32,Vida,M,3,2,Tucumán,Agente,1,1
266,72,17510.82,Auto,F,1,1,Córdoba,Online,1,3
267,28,3658.79,Viaje,M,5,3,Salta,Online,0,2
268,73,15819.37,Hogar,M,1,2,Entre Ríos,Online,1,2
269,34,12036.36,Auto,M,4,1,Buenos Aires,Sucursal,1,3
270,55,11230.85,Auto,M,5,1,Salta,Teléfono,1,2
271,41,11284.81,Vida,M,3,2,Chaco,Agente,0,3
272,22,14776.63,Vida,M,13,0,Tucumán,Online,0,3
273,69,14531.94,Salud,F,12,3,Entre Ríos,Agente,0,3
274,51,12488.92,Viaje,M,2,1,Corrientes,Online,1,3
275,23,11606.95,Auto,M,6,0,Salta,Sucursal,0,3
276,39,15021.27,Salud,M,1,0,Mendoza,Online,0,2
277,28,10080.08,Auto,M,12,1,Entre Ríos,Teléfono,0,2
278,65,9496.24,Viaje,F,10,0,Corrientes,Sucursal,0,3
279,33,15622.77,Salud,F,13,2,Misiones,Sucursal,0,4
280,50,6830.34,Vida,M,5,1,Corrientes,Teléfono,1,4
281,26,8597.62,Salud,M,12,0,Corrientes,Online,0,3
282,23,12459.79,Hogar,M,3,0,Entre Ríos,Online,1,2
283,33,10842.6,Hogar,F,5,1,Tucumán,Teléfono,0,3
284,46,13687.27,Salud,F,3,0,Entre Ríos,Online,0,3
285,20,10255.3,Hogar,M,3,2,Santa Fe,Online,0,3
286,37,11412.75,Hogar,M,14,1,Córdoba,Sucursal,0,3
287,53,8910.72,Hogar,M,3,2,Tucumán,Sucursal,0,3
288,36,11091.13,Salud,F,8,1,Mendoza,Online,0,3
289,43,11017.54,Hogar,M,6,0,Tucumán,Online,0,4
290,20,7971.37,Auto,F,2,1,Chaco,Online,1,2
291,36,16074.66,Salud,M,2,6,Mendoza,Sucursal,0,4
292,37,7219.15,Salud,F,5,2,Misiones,Teléfono,0,2
293,49,14886.22,Auto,F,5,1,Entre Ríos,Agente,0,1
294,24,12799.57,Auto,M,3,2,Corrientes,Sucursal,0,5
295,69,12534.9,Auto,M,14,3,Entre Ríos,Online,0,5
296,58,13528.07,Hogar,F,14,1,Chaco,Agente,0,1
297,50,15496.42,Hogar,M,8,3,Salta,Sucursal,0,3
298,57,18830.35,Salud,F,3,0,Chaco,Online,0,2
299,56,6380.59,Vida,F,8,2,Santa Fe,Agente,0,3
300,35,8359.65,Vida,F,3,0,Corrientes,Teléfono,1,4
301,57,8695.54,Hogar,F,1,3,Corrientes,Teléfono,0,5
302,18,14289.58,Salud,M,1,2,Buenos Aires,Teléfono,0,3
303,28,11832.98,Hogar,F,4,4,Salta,Online,1,3
304,45,6708.22,Tecnología,M,3,1,Buenos Aires,Online,0,3
305,74,14468.39,Vida,M,6,3,Misiones,Sucursal,0,3
306,42,8927.24,Auto,F,13,0,Córdoba,Online,0,5
307,67,11285.08,Vida,M,10,2,Córdoba,Sucursal,0,4
308,40,6180.02,Hogar,F,4,1,Entre Ríos,Teléfono,0,3
309,48,9879.39,Vida,M,5,1,Córdoba,Teléfono,0,3
310,47,7009.45,Auto,F,9,0,Corrientes,Sucursal,1,2
311,59,8369.62,Auto,F,3,1,Chaco,Teléfono,1,1
312,52,12364.84,Viaje,F,12,0,Salta,Teléfono,0,4
313,24,8106.98,Auto,F,11,0,Entre Ríos,Sucursal,0,3
314,33,25386.01,Salud,F,1,2,Entre Ríos,Online,0,3
315,43,13057.95,Auto,M,12,0,Salta,Online,0,3
316,65,14370.86,Vida,M,9,0,Corrientes,Online,0,4
317,74,10392.41,Vida,M,8,3,Misiones,Online,0,2
318,69,16421.21,Vida,M,9,2,Misiones,Online,0,4
319,66,8933.09,Hogar,F,14,1,Entre Ríos,Online,0,4
320,19,11592.63,Auto,F,6,4,Misiones,Sucursal,1,5
321,18,19628.28,Auto,F,3,2,Corrientes,Agente,0,3
322,65,10361.82,Hogar,F,2,3,Santa Fe,Online,1,2
323,29,17772.17,Vida,M,9,2,Santa Fe,Teléfono,1,3
324,22,7321.42,Viaje,M,13,1,Buenos Aires,Sucursal,0,3
325,54,9445.53,Viaje,F,14,2,Tucumán,Online,1,2
326,49,21927.36,Salud,F,2,3,Mendoza,Agente,0,3
327,72,12086.74,Salud,M,8,2,Córdoba,Sucursal,0,3
328,26,20328.56,Vida,M,4,1,Misiones,Online,0,4
329,58,13915.59,Auto,F,12,2,Santa Fe,Teléfono,0,1
330,52,8001.34,Viaje,M,14,2,Chaco,Online,0,3
331,36,15826.39,Vida,M,2,1,Salta,Sucursal,0,4
332,65,17442.96,Vida,F,14,1,Tucumán,Online,0,4
333,33,13381.97,Auto,F,4,0,Buenos Aires,Teléfono,0,4
334,20,5489.33,Hogar,M,1,1,Mendoza,Sucursal,0,4
335,37,8188.59,Hogar,M,10,0,Santa Fe,Sucursal,0,5
336,41,8741.7,Viaje,M,3,2,Buenos Aires,Online,0,3
337,71,13419.71,Vida,F,9,2,Tucumán,Sucursal,0,3
338,73,12592.02,Hogar,F,1,2,Salta,Teléfono,0,1
339,50,8926.48,Tecnología,M,1,0,Córdoba,Sucursal,0,1
340,41,7003.37,Auto,M,11,2,Santa Fe,Sucursal,1,2
341,69,11830.59,Hogar,F,7,2,Salta,Sucursal,0,2
342,28,13294.94,Auto,M,0,3,Mendoza,Teléfono,0,2
343,66,17011.12,Salud,M,13,3,Misiones,Sucursal,0,2
344,25,12168.11,Viaje,M,6,3,Tucumán,Teléfono,1,1
345,53,14281.95,Auto,M,4,2,Mendoza,Teléfono,0,5
346,55,10789.79,Viaje,M,14,2,Córdoba,Sucursal,0,1
347,57,11338.45,Auto,F,10,0,Salta,Online,0,4
348,37,4885.41,Viaje,M,7,2,Corrientes,Sucursal,0,2
349,52,16324.39,Salud,F,0,2,Córdoba,Teléfono,0,5
350,65,15522.28,Salud,M,10,2,Entre Ríos,Online,0,4
351,42,12316.21,Auto,F,6,0,Santa Fe,Sucursal,1,3
352,52,5455.8,Tecnología,M,4,0,Misiones,Teléfono,0,3
353,42,9879.56,Salud,F,3,2,Tucumán,Online,0,1
354,46,13619.46,Hogar,F,6,1,Chaco,Sucursal,1,5
355,35,14183.86,Salud,F,9,2,Salta,Online,0,4
356,63,13878.95,Auto,F,14,2,Corrientes,Online,1,4
357,35,9426.46,Viaje,M,1,4,Chaco,Teléfono,0,3
358,19,11288.2,Auto,M,11,0,Santa Fe,Online,1,3
359,71,18650.79,Salud,M,14,1,Santa Fe,Online,0,4
360,52,11507.43,Vida,F,0,0,Tucumán,Teléfono,1,2
361,33,11647.2,Auto,F,0,0,Corrientes,Online,1,3
362,58,10054.49,Auto,F,10,0,Santa Fe,Agente,0,1
363,53,10096.16,Auto,F,11,1,Chaco,Agente,0,5
364,50,9572.48,Hogar,M,0,2,Corrientes,Online,0,2
365,21,10876.4,Hogar,F,14,0,Chaco,Online,1,2
366,50,11632.88,Vida,F,11,1,Córdoba,Teléfono,0,3
367,31,15454.0,Auto,F,4,3,Mendoza,Sucursal,0,4
368,38,8427.8,Auto,F,9,1,Corrientes,Online,0,3
369,65,13865.15,Salud,M,6,3,Buenos Aires,Teléfono,0,2
370,37,9918.89,Auto,M,1,3,Mendoza,Online,0,1
371,73,13636.84,Viaje,F,9,2,Mendoza,Teléfono,1,4
372,25,9780.69,Viaje,F,7,1,Corrientes,Online,0,5
373,24,17264.19,Vida,F,3,1,Misiones,Online,1,4
374,20,7406.32,Vida,F,11,1,Santa Fe,Online,0,3
375,34,10061.04,Viaje,F,2,1,Córdoba,Agente,0,5
376,50,14435.78,Auto,M,9,0,Misiones,Sucursal,0,3
377,65,11921.54,Auto,M,10,2,Misiones,Teléfono,0,3
378,29,14806.08,Auto,M,7,1,Buenos Aires,Online,1,3
379,68,12507.38,Salud,F,1,3,Salta,Online,1,3
380,39,16040.84,Auto,F,10,2,Corrientes,Online,0,4
381,72,22685.7,Vida,M,10,2,Chaco,Sucursal,0,3
382,39,7519.18,Tecnología,M,12,0,Santa Fe,Sucursal,0,3
383,63,8427.14,Viaje,M,2,2,Misiones,Sucursal,1,2
384,47,19138.2,Vida,F,11,1,Córdoba,Online,1,1
385,55,16762.59,Auto,M,2,3,Salta,Agente,1,3
386,55,12353.99,Salud,F,9,2,Buenos Aires,Online,0,2
387,62,11981.27,Vida,M,10,0,Entre Ríos,Agente,0,2
388,68,10750.12,Auto,M,0,4,Santa Fe,Online,0,3
389,71,7273.32,Auto,M,5,2,Entre Ríos,Sucursal,0,3
390,25,6769.64,Viaje,F,1,3,Mendoza,Online,0,4
391,44,9523.85,Vida,M,0,0,Misiones,Sucursal,0,3
392,44,11215.25,Salud,F,1,1,Tucumán,Sucursal,0,4
393,51,9416.36,Viaje,F,11,2,Santa Fe,Sucursal,1,5
394,38,14293.43,Vida,F,5,2,Chaco,Sucursal,1,4
395,47,19516.95,Vida,M,13,1,Salta,Teléfono,0,3
396,50,7504.94,Hogar,F,3,1,Córdoba,Sucursal,0,3
397,45,13402.97,Hogar,F,5,1,Santa Fe,Teléfono,0,5
398,64,9998.03,Hogar,M,11,2,Chaco,Online,1,2
399,50,14292.25,Salud,F,8,3,Corrientes,Sucursal,1,2
400,22,15851.8,Vida,M,12,3,Entre Ríos,Sucursal,1,3
401,65,6618.65,Viaje,F,9,1,Corrientes,Online,1,1
402,36,11507.23,Hogar,F,11,1,Salta,Sucursal,0,5
403,21,13859.17,Vida,M,9,1,Buenos Aires,Online,0,3
404,52,15440.56,Vida,F,7,3,Misiones,Online,0,3
405,66,14787.76,Vida,F,0,3,Santa Fe,Online,0,3
